wmo,lat,long
10020,55.0111,8.4125
10046,54.3761,10.1433
10055,54.5297,11.0619
10091,54.6817,13.4367
10113,53.7139,7.1525
10147,53.635,9.99
10162,53.6425,11.3872
10200,53.3894,7.2269
10224,53.0464,8.7994
10264,53.3222,11.9319
10315,52.1353,7.7
10338,52.4658,9.6797
10382,52.5656,13.3108
10384,52.4675,13.4019
10393,52.2097,14.1203
10400,51.2975,6.7692
10430,51.7853,8.8386
10469,51.4361,12.2414
10488,51.1292,13.7561
10496,51.7761,14.3169
10505,50.7981,6.0242
10513,50.8661,7.1586
10532,50.6031,8.645
10548,50.5611,10.3772
10554,50.9847,10.9631
10616,49.9475,7.2647
10637,50.0261,8.5214
10641,50.09,8.7861
10675,49.8753,10.9219
10685,50.3133,11.8775
10688,49.6661,12.1844
10708,49.2142,7.1083
10729,49.5089,8.5542
10731,48.9736,8.3311
10738,48.6892,9.2253
10742,49.2081,9.5186
10763,49.5044,11.0569
10776,49.0436,12.1033
10788,48.8286,12.5603
10791,49.1139,13.1353
10805,48.3647,7.8281
10815,48.4536,8.4089
10852,48.4253,10.9419
10870,48.3486,11.8147
10895,48.5461,13.3547
10908,47.8747,8.0039
10929,47.6775,9.19
10946,47.7231,10.3347
10948,47.3983,10.2758
10961,47.4222,10.9867
10962,47.8019,11.0119